procedure_code,price
DIAG2016,15000
DIAG2018,15000
DIAG2019,15000
DIAG2022,15000
DIAG2025,15000
DIAG2027,15000
DIAG2028,15000
DIAG2037,15000
DIAG2038,15000
DIAG2040,15000
DIAG2041,15000
DIAG2043,15000
DIAG2047,15000
DIAG2050,15000
DIAG2052,15000
DIAG2061,15000
DIAG2066,12000
DIAG2067,15000
DIAG2068,15000
DIAG2069,15000
DIAG2073,12000
DIAG2074,15000
DIAG2079,15000
DIAG2080,15000
DIAG2083,15000
DIAG2086,15000
DIAG2088,15000
DIAG2089,15000
DIAG2090,15000
DIAG2091,15000
DIAG2092,15000
DIAG2093,15000
DIAG2095,15000
DIAG2098,15000
DIAG2101,15000
DIAG2102,15000
DIAG2110,15000
DIAG2112,15000
DIAG2117,15000
DIAG2120,15000
DIAG2130,15000
DIAG2134,15000
DIAG2152,15000
DIAG2153,15000
DIAG2163,15000
DIAG2164,15000
DIAG2165,15000
DIAG2166,15000
DRG3267,4500
DRG1280,80
